"x", "y", "value"
0,0,0
0,1,1
0,2,1
0,3,2
0,4,3
0,5,5
0,6,8
0,7,13
0,8,21
0,9,34
0,10,55
0,11,89
0,12,144
0,13,233
0,14,377
0,15,610
0,16,987
0,17,1597
0,18,2584
0,19,4181
0,20,6765
0,21,10946
1,0,1
1,1,9.006006059859473
1,2,17.01201211986255
1,3,25.380365681524005
1,4,34.19810924980857
1,5,44.07888409525816
1,6,55.72305906575252
1,7,70.344421488736
1,8,89.65598913430415
1,9,116.2644795876311
1,10,154.01835229254846
1,11,208.69359863859353
1,12,288.92594237037054
1,13,407.64411378204886
1,14,584.0914546053021
1,15,846.6151118402473
1,16,1236.1156181013293
1,17,1809.301256282748
1,18,2638.279403857364
1,19,3794.767880980052
1,20,5279.883940490026
1,21,6765
2,0,1
2,1,17.01201211986255
2,2,32.66167673835004
2,3,48.31134135725115
2,4,64.3331872224521
2,5,81.39436806674844
2,6,100.46893067901593
2,7,122.9986377564988
2,8,151.01505546084948
2,9,187.38357692547498
2,10,236.11533094396924
2,11,302.8300998932917
2,12,395.3660570608396
2,13,524.5590581542318
2,14,705.1065927989122
2,15,956.2533746557904
2,16,1301.5461042823213
2,17,1765.8100031733297
2,18,2365.0484781666546
2,19,3079.908179573357
2,20,3794.7678809800545
2,21,4181
3,0,2
3,1,25.380365681730567
3,2,48.31134135725116
3,3,70.87013578728632
3,4,93.4289302181057
3,5,116.69647027026758
3,6,141.7596578299528
3,7,170.1661433973938
3,8,204.02201803053418
3,9,246.13944170945013
3,10,300.2292946682005
3,11,371.1454129297642
3,12,465.1491278290084
3,13,590.1194689751267
3,14,755.5224837834645
3,15,971.745689701681
3,16,1248.0054212012974
3,17,1587.344173961596
3,18,1976.196326064136
3,19,2365.048478166666
3,20,2638.279403857373
3,21,2584
4,0,3
4,1,34.19810924980857
4,2,64.33318722297847
4,3,93.4289302181057
4,4,121.81592759343357
4,5,150.2029249699829
4,6,179.7070869731339
4,7,211.88425997728046
4,8,248.7674315544433
4,9,292.92287721883855
4,10,347.5169930896184
4,11,416.3731293339003
4,12,503.9655723503033
4,13,615.2472061387748
4,14,755.1181836581382
4,15,927.2014791703389
4,16,1131.3857168595919
4,17,1359.3649454106182
